Root,Meaning in English,Origin language,Etymology (root origin),English examples
"hab-, -hib-, habit-, -hibit-",have,Latin,"habere ""to have"", habitus ""habit"", habitare ""to live (reside)""","ability, able, debenture, debile, debilitate, debility, debit, debitor, debt, debtor, devoir, disability, disable, disenable, disinhibit, disinhibition, due, duty, enable, enablement, endeavor, exhibit, exhibition, exhibitor, habeas corpus, habendum, habenula, habile, habilitate, hability, habit, habitable, habitance, habitant, habitat, habitation, habitator, habitual, habituate, habituation, habitude, habitudinal, inability, indubitable, inhabile, inhabit, inhabitable, inhabitant, inhabitation, inhibit, inhibition, inhibitory, nonhabitual, prebend, prebendary, prohibit, prohibition, prohibitive, prohibitory, provender, rehabilitant, rehabilitate, rehabilitation, rehabilitative, rehabilitator"
hadr-,thick,Greek,ἁδρός (hadrós),"Hadrocodium, Hadromys, hadron, Hadropithecus, hadrosaur, hadrosaurid"
"haem-, hem-",blood,Greek,"αἷμα, αἵματος (haîma, haímatos)","anaemia, anemia, haematemesis, haematopoiesis, haematuria, haemochromatosis, haemophilia, haemophobia, haemoptysis, haemorrhage, haemorrhoid, haemosiderosis, haemostatic, hematocrit, hematogenesis, hematoma, hematophagous, hematophagy, hematopoiesis, hematopoietic, hematuria, hemocoel, hemocyte, hemoglobin, hemoglobinuria, hemophagy, hemophilia, hemophiliac, hemoptysis, hemorrhage, hemorrhagic, hemorrhea, hemorrhoid, hemorrhoidectomy, hemosiderin, hemosiderosis, hemostat, hemotherapy, hyperaemia, hyperemia, hyphaema, hyphema, methemoglobin, methemoglobinemia, microhematuria, microhemorrhage, polycythaemia"
haere-,"choose, take",Greek,"αἱρεῖν (haireîn), αἱρεῖσθαι (haireîsthai), αἱρετός (hairetós), αἱρετικός (hairetikós), αἵρεσις (haíresis)","aphaeresis, diaeresis, heresiarch, heresy, heretic, plasmapheresis, synaeresis, syneresis"
hal-,salt,Greek,"ἅλς, ἁλός (háls, halós),
 ἅλινος (hálinos)","halide, halieutic, halite, halochromic, halochromism, halogen, halomancy, halophile, halophyte, oxohalide, thermohaline"
"hal-, -hel-",breathe,Latin,"halare, halatus","anhelation, anhele, anhelous, exhalable, exhalant, exhalation, exhale, halitus, inhalable, inhalant, inhalation, inhale"
hapl-,"simple, single",Greek,"ἁπλοῦς (haploûs), ἅπλωσις (háplōsis), ἅπλωμα (háplōma)","haplochromine, haplodiploid, haplodiploidy, haplography, haploid, haplology, haplont, haplontic, haplophase, haplopia, haplosis, haplotype"
"haur-, haust-",draw,Latin,"haurire, haustus","exhaust, exhaustible, exhaustion, exhaustive, hauriant, haurient, haustellate, haustellum, haustorium, haustrum, inexhaustible, nonexhaustive"
heb-,youth,Greek,"ἥβη (hḗbē), ἡβητικός (hēbētikós), ἔφηβος (éphēbos), ἡβᾶν (hēbân), ἡβάσκω, ἡβητής (hēbētḗs)","ephebeum, ephebia, ephebiatrics, ephebic, ephebiphobia, ephebophilia, ephebos, hebephilia, hebephobia, hebephrenia, hebetic, hebiatrics, hebophile, hebophilia"
hed- (ΕΔ),sit,Greek,"ἕδος, ἕδεος (hédos, hédeos), ἕδρα (hédra), ἕζεσθαι (hézesthai)","cathedra, chair, dodecahedron, dodecahemidodecahedron, endohedric, ephedra, exedra, hemipolyhedron, hexahedron, octahedron, pentahedroid, pentahedron, polyhedron, pyritohedron, rhombohedron, sanhedrin, synedrion, tetrahedroid, trapezohedron, trisoctahedron"
hed-,"pleasant, sweet",Greek,"ἥδεσθαι, ἡδόμενον, ἡδύς (hēdómenon, hēdús), ἡδύτης, σϝηδύς, ἡδονή (hēdonḗ)","anhedonia, anhedonic, hedonics, hedonism, hedonist, hedonistic, hedonology, hyphedonia"
heg-,lead,Greek,"ἄγω, ἡγεῖσθαι (hēgeîsthai), ἡγούμενος (hēgoúmenos), ἡγεμών (hēgemṓn), ἡγεμονία, ἡγεμονικός","diegesis, diegetic, eisegesis, exegesis, exegete, exegetic, hegemon, hegemonic, hegemony, hegumen, hypodiegetic, metadiegetic, protohegumen"
heli-,sun,Greek,ἥλιος (hḗlios),"aphelion, heliocentric, heliocentrism, heliodor, heliograph, heliolatry, heliomania, heliometer, heliopause, Heliophila, heliophobia, heliophyte, Helios, helioscope, heliosphere, heliostat, heliotherapy, heliotrope, heliotropic, heliotropism, helium, parhelion, perihelion"
helic-,something twisted or spiral,Greek,"ϝελίσσω, ἑλίσσειν (helíssein), ἕλιξ, ἕλικος (hélix, hélikos), ἕλιξις, ἕλιγμα (hélixis, héligma), (helikoeidḗs)","anthelix, antihelix, helicine, helicograph, helicoid, helicopter, helicospore, helix"
Hell-,"Greece, Hellas",Greek,"Ἑλλάς, ἑλλάδος (Hellás, helládos)","Helladic, Hellenic, Hellenism, Hellenistic"
helminth-,worm,Greek,"ἕλμινς, ἕλμινθος (hélmins, hélminthos)","anthelmintic, antihelminthic, helminth, helminthic, helminthoid"
helot-,enslaved,Greek,"Εἵλως, Εἵλωτος, Εἱλώτης","Helot, helotism, helotry"
hemer-,day,Greek,ἡμέρα (hēméra),"Decameron, ephemeral, ephemeris, ephemeron, ephemerous, hemeralopia"
hemer-,tame,Greek,"ἥμερος (hḗmeros), ἡμερότης (hēmerótēs)","hemeroby, hemerochora, hemerophile"
hemi-,half,Greek,ἥμισυς (hḗmisus),"anhemitonic, hemiballismus, hemicryptophyte, hemicube, hemicycle, hemidesmosome, hemimelia, hemimetabolic, hemimetabolism, hemimetaboly, hemiparesis, hemiplegia, hemipolyhedron, hemisphere, hemitonic"
hen-,one,Greek,"ἕν (hén), ἑνάς, ἑνάδος (henás, henádos), ἕνωσις (hénōsis)","enosis, enotikon, henad, hendiadys, henotheism, hyphen"
hendec-,eleven,Greek,ἕνδεκα (héndeka),"hendecagon, hendecagram, hendecagrammic, hendecane, hendecasyllabic, hendecasyllable hendecahedron"
hepat-,liver,Greek,"ἧπαρ, ἥπατος (hêpar, hḗpatos), ἡπατικός (hēpatikós)","heparin, hepatic, hepatitis, hepatocyte, hepatology, hepatomancy, hepatoscopy, hepatotoxic, hepatotoxin, hepatotropic"
hept-,seven,Greek,ἑπτά (heptá),"heptachord, heptagon, heptagram, heptagraph, heptahedron, heptamer, heptameric, heptameter, Heptateuch, heptathlete, heptathlon, heptatonic, heptode"
"her-, heir-",heir,Latin,heres (genitive heredis),"heir, heiress, hereditary, heredity, heritage, inherit"
"here-, hes-","cling, stick",Latin,"haerere, haesus","adhere, adherence, adherend, adherent, adhesion, adhesive, cohere, coherence, coherent, cohesion, cohesive, decoherence, hesitancy, hesitant, hesitate, hesitation, hesitator, incoherent, inhere, inherency, inherent, inhesion, nonadherence, nonadherent, nonadhesive"
