Root,Meaning in English,Origin language,Etymology (root origin),English examples
"rad-, ras-","scrape, shave",Latin,"rādere, rāsus","abrade, abrasion, abrasive, corrade, corrasion, erase, erasure, nonabrasive, radula, radular, raduliform, rase, rash, rasorial, raster, rasure, subradular"
radi-,"beam, spoke",Latin,"radius, radiāre","radiance, radiation"
radic-,root,Latin,"rādix, rādīcis","eradicate, radical, radix"
ram-,branch,Latin,rāmus,"ramification, rammel, ramose, ramous, ramulose, ramulous"
ran-,frog,Latin,rāna,Rana
ranc-,"rancidness, grudge, bitterness",Latin,rancere,"rancid, rancor"
rap-,"rob, seize",Latin,"rapere, raptus","arreption, arreptitious, enrapt, enrapture, rapacious, rapacity, rape, rapid, rapidity, rapine, rapt, raptio, raptor, raptorial, rapture, rapturous, raptus, ravenous, ravine, ravish, subreption, subreptitious, surreptitious"
rap-,turnip,Latin,rāpum,rapeseed
raph-,"sew, seam",Greek,"ῥάπτειν (rháptein), ῤαφή (raphḗ)","raphae, raphe"
rar-,rare,Latin,rārus,rarity
rauc-,"harsh, hoarse",Latin,raucus,raucous
"re-, red-","again, back",Latin,re-,"recede, redact"
"rect-, reg-, -rig-","straight, direct",Latin,"regere ""to direct, lead straight, guide"", related rectus ""straight, right""","correct, direct, dirigible, erect, erection, ergo, rectangle, rectify, rectitude, rectum, regent, regime, regimen, regiment, region, surge"
"reg-, rex-",king,Latin,rex (genitive regis),"regal, regency, regicide, Regis, regulation, reign, rex, royal"
regul-,rule,Latin,"rēgula ""to rule""","regular, regulate, regulation, rule"
rem-,oar,Latin,rēmus,"bireme, trireme"
ren-,kidney,Latin,rēnēs,renal
"rep-, rept-","crawl, creep",Latin,"rēpere, reptus",reptile
resid-,left behind,Latin,"residere ""remain behind"" (see also sedere)","reside, residence, resident, residual, residue"
ret-,net,Latin,rēte,"reticle, retina"
retro-,"backward, behind",Latin,retrō,"retrograde, retrospective, retrovirus"
rhabd-,rod,Greek,ῥάβδος (rhábdos),"Rhabdodon, rhabdoid, rhabdom, rhabdomancy, rhabdomyolysis, rhabdomyosarcoma"
"rhach-, rach-",spine,Greek,"ῥάχις, ῥάχεως (rhákhis, rhákheōs)","rachipagus, rachis, rachischisis, rhachiodont, rhachis"
"rhag-, rheg-","rend, tear",Greek,"ῥηγνύναι (rhēgnúnai), ῥαγίζω, ῥῆξις (rhêxis), ῥῆγμα (rhêgma)","bronchorrhagia, hemorrhage, menorrhagia, regma, rhagades, rhegma, rhegmatogenous, rhexis"
rhe-,flow,Greek,"ῥεῖν (rheîn), ῥυτός (rhutós), ῥύσις (rhúsis), ῥεῦμα (rheûma), ῥοία (rhoía), ῥυθμός (rhuthmós)","antiarrhythmic, arrhythmia, arrhythmic, diarrhoea, dysrhythmia, endorheic, eurhythmia, eurhythmic, eurhythmy, gonorrhoea, hemorrhea, logorrhea, polyrhythm, rheology, rheometer, rheostat, rheum, rheumatic, rheumatism, rheumatoid, rheumatology, rhythm, rhythmic, rhyton"
rhetin-,resin,Greek,"ῥητίνη (rhētínē), ῥητινώδης, ῥητινόω",retinite
rhig-,chill,Greek,ῥῖγος (rhîgos),rhigosaurus
