Root,Meaning in English,Origin language,Etymology (root origin),English examples
"ab-, a-, abs-, au-","away from, down, off",Latin,ab,"abdication, abduction, aberrant, abnormal, abrasion, absent, absorb, abstain, abstemious, abstraction, aversion, avulsion"
abac-,slab,Ancient Greek,"ἄβαξ, ἄβακος (ábax, ábakos), ἀβακίσκος (abakískos)","abaciscus, abacus, abax"
"ac-, acm-, acr-",point,Greek,"ἀκή (akḗ), ἀκίς, ἀκίδος (akís, akídos), ἀκόνη (akónē), ἄκρος (ákros), ἄκρον (ákron), ἄκρα","Acidanthera, acme, acmeism, acmesthesia, acmic, acne"
"ac-, ace-",cure,Greek,"ἀκεῖσθαι (akeîsthai), ἀκή (akḗ), ἄκος, ἄκεος (ákos, ákeos)","aceology, autacoid, panacea"
academ-,Akademos,Greek,Ἀκάδημος (Akádēmos),"academe, academia, academic, academy"
acanth-,thorn,Greek,"ἀκή, ἄκανθα (ákantha)","Acanthaster, Acanthion, acanthite, Acanthocephala, acanthocephaliasis, acanthocyte, Acanthomintha, Acanthosaura, Acanthus, Metriacanthosaurus, neuroacanthocytosis"
acar-,mite,Greek,ἀκαρί (akarí),"acariasis, acarid, acariphagous, acaroid, acarology, acarophobia, Acarus"
accipitr-,hawk,Latin,accipiter,"Accipiter, accipitrine"
"acer-, acri-","bitter, sharp, sour",Latin,"ācer, ācris, acerbus, acere","acerbic, acrid, acrimonious, acrimony, exacerbate"
acet-,"sour, vinegar",Latin,acētum,"acetabulum, acetate, acetic, acetone, acetum, triacetate"
acid-,"acidic, sour",Latin,acidus,"acidiferous, acidity, acidosis, acidulation, acidulous"
acr-,"height, summit, tip, top",Greek,"ἀκή (akḗ), ἄκρος (ákros) ""high"", ""extreme"", ἄκρον (ákron)","acrobat, acrobatics, acrochordon, acromegalia, acromegaly, acromion, acronym, acrophobia, acropolis, acrostic, acroterion, acrotomophilia"
actin-,"beam, ray",Greek,"ἀκτίς, ἀκτῖνος (aktís, aktînos)","actinic, actinism, actinium, actinocerid, actinodrome, actinoid, actinomere, actinometer, actinomorphic, Actinomyces, actinophryid, actinopod, Actinopterygii, actinotherapy, Actinozoa"
"acu-, acut-","sharp, pointed",Latin,"acutus, past participle of acuere ""to sharpen"", from acus ""needle""","acerose, acupuncture, acumen, acute, acutifoliate"
"ad-, a-, ac-, af-, ag-, al-, am-, an-, ap-, ar-, as-, at-",movement to or toward; in addition to,Latin,"ad ""to"", ""toward""","accept, accurate, adapt, addition, address, adept, adherent, adhesive, adjust, admit, admonish, advertisement, affect, agglomerate, aggregate, aggression, allege, allude, ammunition, annectent, approximate, arreption, arride, arrogant, ascend, assault, assimilate, attend, attract"
